ID на документ,ПУБЛИКУВАН НА,ID на поръчката,УНП,ЕИК на възложителя,ВЪЗЛОЖИТЕЛ,ПРЕДМЕТ на поръчката,S51.ID,ПРЕДМЕТ на договора,ДОГОВОР НОМЕР,ДАТА на изпращане на АНЕКСА,ЕИК на изпълнителя,ИЗПЪЛНИТЕЛ,ОПИСАНИЕ на измененията,ДОПЪЛНИТЕЛНО,НЕПРИДВИДИМОСТ,СТОЙНОСТ преди изменението,СТОЙНОСТ след изменението,ИЗМЕНЕНИЕ на стойността,ВАЛУТА,DATA_YEAR
1048131,12/08/2024,363871,01379-2018-0209,175201304,Електроенергиен системен оператор /ЕСО/ ЕАД,Частично изместване на ВЛ 110 kV „Металургия-Негован“,1202398,Частично изместване на ВЛ 110 kV „Металургия-Негован“,0113-МЕР,12/08/2024,130258609,Импулс Ко ООД,"Изменя се общата стойност на договора, като от 1 239 963,67 (един милион двеста  тридесет и девет хиляди деветстотин шестдесет и три лева, 67 стотинки) лева, без ДДС става 1 859 945,51  (един милион осемстотин петдесет и девет хиляди деветстотин четиридесет и пет лева, 51 стотинки) лева, без  ДДС=",,"Налице е постъпило искане от изпълнителя (вх. № ЦУ-ЕСО-10060/30.09.2022 г.) за увеличение  на приетите дейности по договора, вследствие на съществено увеличение на цените на основните стоки  и материали в резултат на инфлация, с оглед на което, на основание чл. 116, ал. 1, т. 3, във вр. с чл. 117а,  ал. 1 от Закон за обществените поръчки (ЗОП) във вр. с § 2 (ДВ, бр. 62 от 2022 г., в сила от 5.08.2022 г.) от  преходните и заключителни разпоредби на Закон за допълнение на ЗОП, във вр. с Постановление № 290 от  27 септември 2022 г. за приемане на Методика за изменение на цената на договор за обществена поръчка в  резултат на инфлация, се сключва допълнително споразумение.",1239963.67,1859945.51,619981.84,BGN,2024
1046734,01/02/2024,364580,01379-2018-0229,175201304,Електроенергиен системен оператор /ЕСО/ ЕАД,Изграждане на п/ст Обзор 110/20 кV,1198956,Изграждане на п/ст Обзор 110/20 кV,0082-МЕР,29/01/2024,177379119,ДЗЗД Рудин-Старт,"Общата стойност за изпълнение на договора се изменя с общата стойност на изменението на изпълнените и приети дейности, като от 3 349 375,43   (три милиона триста четиридесет и девет  хиляди триста седемдесет и пет лева и 43 стотинки) лева, без ДДС става 5 024 063,15 (пет милиона и двадесет и четири хиляди и шестдесет и три лева и 15 стотинки) лева, без ДДС, в съответствие с чл.1-чл.4 от Методиката за изменение на цената на договор за обществена поръчка в резултат на инфлация.",,"Налице е постъпило искане от изпълнителя за увеличение на цените за приетите дейности по д-ра вследствие на съществено увеличение на цените на основни стоки и материали с оглед на което, на основание чл.116,ал.1, т.3, във вр. с чл.117а, ал.1, във вр. с § 2 (обн. ДВ, бр. 62 от 2022 г., в сила от 5.08.2022 г.) от ПЗР на ЗИД на ЗОП, във вр. с Методика за изменение на цената на д-р за обществена поръчка в резултат на инфлация, приета с ПМС № 290 от 27.09. 2022 г.  възложителят е изискал от изпълнителя обосновка и доказателства за основателността на искането за индексация по Методиката.",3349375.43,5024063.15,1674687.72,BGN,2024
1048527,15/11/2024,364580,01379-2018-0229,175201304,Електроенергиен системен оператор /ЕСО/ ЕАД,Ремонт ограда в п/ст „Шумен Център“,1204097,Ремонт ограда в п/ст „Шумен Център“,МЕР-Ш-ДОГ-8,15/11/2024,177378818,ДЗЗД П-ст ВН,"Изменя се общата стойност за изпълнение  на договора, като от 9 849,10  лева (девет хиляди осемстотин четиридесет и девет лева и десет стотинки) лева, без ДДС става 14 773,65 (четиринадесет хиляди седемстотин седемдесет и три лева и шестдесет и пет стотинки) лева, без ДДС",,"Налице е постъпило искане от изпълнителя (вх. № ЦУ-ЕСО-10135/03.10.2022 г.) за увеличение на приетите дейности по договора, вследствие на съществено увеличение на цените на основните стоки и материали в резултат на инфлация, с оглед на което, на основание чл. 116, ал. 1, т.3, във вр. с чл. 117а, ал. 1 от Закон за обществените поръчки (ЗОП) във вр. с § 2 (ДВ, бр. 62 от 2022 г., в сила от 5.08.2022 г.) от преходните и заключителни разпоредби на Закон за допълнение на ЗОП, във вр. с Постановление № 290 от 27 септември 2022 г. за приемане на Методика за изменение на цената на договор за обществена поръчка в резултат на инфлация, се сключва допълнително споразумение. Към датата на сключване на договора не е предвидено съфинансиране по Националния план за възстановяване и устойчивост със средства на Европейския съюз по Механизма за възстановяване и устойчивост.",9849.1,14773.65,4924.55,BGN,2024
1046649,25/01/2024,366978,01379-2019-0032,175201304,Електроенергиен системен оператор /ЕСО/ ЕАД,Доставка на прекъсвачи ВН,1198857,Доставка на елегазови прекъсвачи ВН за 110 kV,0085-МЕР,22/01/2024,130590579,Електроимпекс Ентърпрайз ЕООД,"На основание чл.116, ал.1, т.3 от ЗОП, срокът за изпълнение по конкретно изпратена поръчка за доставка №4240258430 се удължава до 30.09.2022г. Поръчка № 4240252935 се удължава до 30.03.2022г. Поръчка № 4240254295 се удължава до 30.05.2022г. Поръчка № 4240254298 се удължава до 30.05.2022г. Поръчка № 4240254293 се удължава до 30.06.2022г. Поръчка № 4240254294 се удължава до 30.07.2022г.",,"С писмо вх.№ ЦУ-ЕСО-5983/20.06.2022 г.,изпълнителят ""Електроимпекс ентърпрайз"" ЕООД информира за обстоятелства, яваващи се непреодолима сила за изпълнение в срок на поръчката за доставка №4240258430. Фактори, възпрепятстващи изпълнението в срок и натрупали се във връзка с пандемичната обстановка и ограниченията са: - започналият в края на м. февруари военен конфликт между Русия и Украйна, който променя логистика между България и Русия чрез ползване на обходни маршрути, водещо до нарастване на сроковете на превозите повече от три пъти; - въведените от ЕС санкции към Русия, които  довеждат до допълнителни затруднения и увеличаване на времето за производство и логистика. На основание чл. 116, ал. 1, т. 3 от ЗОП и във връзка с гореизложеното, за справедливо уреждане на отношенията между страните, се договориха измененията,посочени в VII.2.1 на настоящето обявление.",5526000,5526000,0,BGN,2024
1047668,30/05/2024,372136,01379-2019-0153,175201304,Електроенергиен системен оператор /ЕСО/ ЕАД,Доставка на измервателни трансформатори Ср.Н,1201148,Доставка на токови измервателни трансформатори Ср.Н,0132-МЕР,30/05/2024,833055130,Контрагент-35 ЕООД - Стара Загора,"За целите на изпълнението на чл. 29, ал. 1, т. 1 от ЗОП във връзка с чл. 72 от Правилника за прилагане на ЗОП и в съответствие с чл. 7 от Методиката, срокът на действие на договор № 0132-МЕР/20.12.2019 г., се изменя, както следва: 1. В случай на отказ на възложителя да приложи Методиката, срокът на действие на договора е до датата на изпращане на писмо за отказа; 2. В случай на одобрение на искането на изпълнителя за прилагане на Методиката,  срокът на действие на договора е до датата на последното плащане на увеличението.  С допълнителното споразумение се уреждат задълженията на изпълнителя във връзка с финансирането по НПВУ.",,"С писмо вх.№ЦУ-ЕСО-3757/03.04.2024 г. изпълнителят „Контрагент 35“ ЕООД е отправил искане за индексиране на цените, в резултат на инфлация, по четири поръчки за доставка с номера 4240285437, 4240285429, 4240285428, 4240285427 от 18.12.2023г.  С писмо изх. № ЦУ-ЕСО-3757#1/15.04.2024 г. от изпълнителя е изискано да  представи подробна обосновка и подробни допълнителни доказателства.В информационната система ""Инфостат"" на НСИ не е публикуван индекс за стоки от внос.  След сключване на договора е осигурено финансиране по Националния план за възстановяване и устойчивост със средства на Европейския съюз по Механизма за възстановяване и устойчивост, Инвестиция C4.I4. „Цифрова трансформация на електропреносната мрежа“, Подпроект 1 „Осъществяване на система за автоматизирано управление на подстанции“.",481000,481000,0,BGN,2024
1047127,01/03/2024,375416,01379-2019-0225,175201304,Електроенергиен системен оператор /ЕСО/ ЕАД,Доставка на цифрови релейни защити и автоматики за Ср. Н,1199775,Доставка на цифрови релейни защити и автоматики за СрН,0026-МЕР,01/03/2024,121746004,Сименс ЕООД - София,"Допълнително спарозумение № 1 е сключено на основание чл. 116, ал. 1, т. 3 от Закона за обществените поръчки (ЗОП), във връзка с Оперативно споразумение № СПОР-1/03.01.2023 г. за изпълнение на националния План за възстановяване и устойчивост, и предвид искане на ИЗПЪЛНИТЕЛЯ, с вх. № ЦУ-ЕСО 10310/29.09.2023 г. за: - съгласно искане на ИЗПЪЛНИТЕЛЯ, с вх. № ЦУ-ЕСО-10310/29.09.2023 г., гаранционният срок по чл. 7.4. на доставени и приети стоки по Договор № 0026-МЕР/28.02.2020 г., по изпратени поръчки за доставки № 4240281990, № 4240281991, № 4240281992 и № 4240281993 от 29.09.2023 г., е увеличен на 42 (четиридесет и два) месеца, считано от датата на съответния приемо-предавателния протокол за тях, съгласно чл. 6.4. от Договор № 0026-МЕР/28.02.2020 г. - добавени са текстове относими към изисквания  във връзка с Оперативно споразумение № СПОР-1/03.01.2023 г. за изпълнение на националния План за възстановяване и устойчивост.",,"Допълнително спарозумение № 1 е сключено на основание чл. 116, ал. 1, т. 3 от Закона за обществените поръчки (ЗОП), във връзка с Оперативно споразумение № СПОР-1/03.01.2023 г. за изпълнение на националния План за възстановяване и устойчивост, и предвид искане на ИЗПЪЛНИТЕЛЯ, с вх. № ЦУ-ЕСО 10310/29.09.2023 г. за: - съгласно искане на ИЗПЪЛНИТЕЛЯ, с вх. № ЦУ-ЕСО-10310/29.09.2023 г., гаранционният срок по чл. 7.4. на доставени и приети стоки по Договор № 0026-МЕР/28.02.2020 г., по изпратени поръчки за доставки № 4240281990, № 4240281991, № 4240281992 и № 4240281993 от 29.09.2023 г., е увеличен на 42 (четиридесет и два) месеца, считано от датата на съответния приемо-предавателния протокол за тях, съгласно чл. 6.4. от Договор № 0026-МЕР/28.02.2020 г. - добавени са текстове относими към изисквания  във връзка с Оперативно споразумение № СПОР-1/03.01.2023 г. за изпълнение на националния План за възстановяване и устойчивост.",2375000,2375000,0,BGN,2024
1046540,17/01/2024,377901,00609-2020-0003,104518621,"Електроразпределение Север АД   /старо наименование ""Енерго - Про Мрежи"" АД /старо наименование ""Е.ОН България мрежи"" АД /Старо наименование: Електроразпределение - Горна Оряховица АД//",Избор на оператор за отпечатване и предоставяне на ваучери за храна на персонала на „Електроразпределение Север“ АД.,1198695,Избор на оператор за отпечатване и предоставяне на ваучери за храна на персонала на „Електроразпределение Север“ АД.,6/2020,15/01/2024,40336507,Томбоу-България ЕООД - старо наименование ТОМБОУ-БЪЛГАРИЯ ООД,"ВЪЗЛОЖИТЕЛЯТ ще заявява ежемесечно за всеки служител ваучери за храна на обща стойност от 200 (двеста) лева, персонално пакетирани в книжка, съдържаща 10 (десет) къса с номинал от по 20 (двадесет) лева.",,"Във връзка с изменения в чл. 209, ал. 7 от Закона за корпоративното подоходно облагане, обнародвани в ДВ, бр.104 от 2020 г., в сила от 1.01.2021 г., с които е прието, че не се облагат с данък социалните разходи по чл. 204, ал. 1, т. 2, буква ""б"" в размер до 200 лв. месечно. На основание чл.47 от Договор № 6А/2020 г. и чл.116 ал.1, т.3 от ЗОП, поради описаните в по-горе обстоятелства, се сключи Допълнително споразумение №4 към Договор №6А/2020 г. Изменението не води до промяна на предмета и стойността на договора.",5300000,5300000,0,BGN,2024
1046436,12/01/2024,381408,00609-2020-0019,104518621,"Електроразпределение Север АД   /старо наименование ""Енерго - Про Мрежи"" АД /старо наименование ""Е.ОН България мрежи"" АД /Старо наименование: Електроразпределение - Горна Оряховица АД//",„Изработка и доставка на печaтни материали за нуждите на Електроразпределение Север АД”,1198536,„Изработка и доставка на печaтни материали за нуждите на Електроразпределение Север АД”,83/2020,09/01/2024,148084977,Августа ЕООД,"На основание чл.116, ал.1,т.3 от ЗОП и чл.47 от Договор №83/14.12.2020 г. е сключено Допълнително споразумение №2 от 02.06.2022.",,"В сравнение с периода на подписване на Договора е налице съществено изменение на цените на материалите, ел. енергията и други елементи, които участват в себестойността и ценообразуането на печатните материали, предмет на договора, което налага повишение на цените - средно общо увеличение на 40% Направените промени не водят до промяна на предмета на договора, както и до увеличаване на стойността.",800000,800000,0,BGN,2024
1048519,13/11/2024,381598,05948-2020-0004,831641791,Информационно обслужване АД,",,Доставка на комуникационно оборудване, хардуер и софтуер, необходими за обновяване на информационни и комуникационни системи на Национална агенция за приходите’’",1204052,"„Доставка на централен процесорен блок за обработка на информация, софтуерни пакети и операционни системи за виртуализация и сървъри за точно време“",ПО-16-1030,13/11/2024,40529004,Сирма Солюшънс АД - София /ново наименование/ Сирма груп АД - София /старо наименование/,"На основание чл. 116, ал. 1, т. 5 от ЗОП и чл. 35 от Договор № ПО-16-1030/19.08.2020 г. се правят следните изменения: ИЗПЪЛНИТЕЛ по Договор № ПО-16-1030/19.08.2020 г. за обществена поръчка с предмет: „Доставка на комуникационно оборудване, хардуер и софтуер, необходими за обновяване на информационни и комуникационни системи на Национална агенция за приходите“, Обособена позиция № 1 с предмет „Доставка на централен процесорен блок за обработка на информация, софтуерни пакети и операционни системи за виртуализация и сървъри за точно време“ и приложенията към него, считано от датата на вписване на промяната на обстоятелствата в ТРРЮЛНЦ по партидата на „СИРМА СОЛЮШЪНС“ ЕАД (ЕИК: 040529004) – 08.10.2024 г., е правоприемникът „СИРМА ГРУП ХОЛДИНГ“ АД, ЕИК 200101236, гр. София 1784, район „Младост“, бул. „Цариградско шосе“ № 135.",,"1.	С писмо със системен № M1669483 от 10.10.2024 г., получено чрез Централизираната автоматизирана информационна система „Електронни обществени поръчки“ („ЦАИС ЕОП“), ВЪЗЛОЖИТЕЛЯТ е уведомен, че дружество „СИРМА СОЛЮШЪНС“ ЕАД (ЕИК: 040529004) е преобразувано чрез вливане в „СИРМА ГРУП ХОЛДИНГ“ АД (ЕИК 200101236), като считано от „дата 8.Окт.2024, „Сирма Солюшънс“ ЕАД престава да съществува като самостоятелно юридическо лице и всички търговски отношения, права и задължения се прехвърлят към правоприемника.“ 2.	За правоприемника „СИРМА ГРУП ХОЛДИНГ“ АД (ЕИК 200101236) са изпълнени следните условия: а) за новия изпълнител не са налице основанията за отстраняване от процедурата; б) промяната на ИЗПЪЛНИТЕЛЯ не води до други съществени изменения на Договора за обществена поръчка и не цели заобикаляне на закона; 3.	Налице е основание за изменени по чл. 116, ал. 1, т. 5 от ЗОП.",1786800,1786800,0,BGN,2024
1047620,21/05/2024,365327,00265-2019-0006,833017552,"Мини ""Марица Изток"" ЕАД - Раднево",Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на „Мини Марица-изток“ ЕАД.,1201041,"Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на територията на рудник „Трояново-1“, с.Трояново, контактен проводник и ж.п. релси ......",ТО-161,21/05/2024,121819662,Вип Секюрити ЕООД - София,"На основание чл. 116, ал. 1, т. 3 от ЗОП: 1. Срокът на Договор № ТО-161/30.04.2020 г. се удължава до започване на изпълнението на нов договор със същия предмет, сключен от страна на Възложителя, но не по-късно от 31.12.2024г. 2. При сключване на договор с изпълнител, определен след проведена процедура по ЗОП по предмета на договора, Възложителят прекратява едностранно действието на договора, като за целта отправя писмено уведомление до Изпълнителя. 3. За обезпечаването на качественото изпълнение на настоящото споразумение, Изпълнителят представя гаранция за изпълнение в размер на 50 719.56 лева и със срок на валидност до 31.01.2025г. Изпълнителят представя на Възложителя гаранцията за изпълнение на настоящото споразумение в срок до 10.05.2024г. За така представената гаранция важат условията на основния договор. Предишни изменения - раздел VI.3). Допълнителна информация",,"Забавяне с около 5 месеца одобряване от ДАНС на „Схема за класификация на етапите за сключване и изпълнение на договор“, изтичане на 30.04.2024г. на срокa на действащите Договори №№ ТО 161/30.04.2020 г., ТО 162/30.04.2020 г. и ТО 163/30.04.2020 г. на Възложителя за „Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на дружеството“ и фактическа невъзможност да бъдат спазени изискванията на Правилник за прилагане на Закона за Държавна агенция „Национална сигурност“, в частност Глава четвърта – „Дейности на агенцията по получаване и предоставяне на информация, контраразузнавателна защита на стратегически за страната обекти и дейности и по проучване за издаване на разрешения за достъп до класифицирана информация“, чл.41 във връзка с Постановление № 181 от 20 юли 2009 г. за определяне на стратегическите обекти и дейности, които са от значение за националната сигурност на Министерски съвет.",12735072,15271050.24,2535978.24,BGN,2024
1047621,21/05/2024,365327,00265-2019-0006,833017552,"Мини ""Марица Изток"" ЕАД - Раднево",Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на „Мини Марица-изток“ ЕАД.,1201042,"Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на територията на рудник „Трояново-север“, с. Ковачево",ТО-162,21/05/2024,177341645,ЕЛИТКОМ ГРУП ДЗЗД,"На основание чл. 116, ал. 1, т. 3 от ЗОП: 1. Срокът на Договор № ТО-162/30.04.2020 г. се удължава до започване на изпълнението на нов договор със същия предмет, сключен от страна на Възложителя, но не по-късно от 31.12.2024г. 2. При сключване на договор с изпълнител, определен след проведена процедура по ЗОП по предмета на договора, Възложителят прекратява едностранно действието на договора, като за целта отправя писмено уведомление до Изпълнителя. 3. За обезпечаването на качественото изпълнение на настоящото споразумение, Изпълнителят представя гаранция за изпълнение в размер на 36 310.24 лева и със срок на валидност до 31.01.2025г. Изпълнителят представя на Възложителя гаранцията за изпълнение на настоящото споразумение в срок до 10.05.2024г. За така представената  гаранция важат условията на основния договор. Предишни изменения - раздел VI.3). Допълнителна информация",,"Забавяне с около 5 месеца одобряване от ДАНС на „Схема за класификация на етапите за сключване и изпълнение на договор“, изтичане на 30.04.2024г. на срокa на действащите Договори №№ ТО 161/30.04.2020 г., ТО 162/30.04.2020 г. и ТО 163/30.04.2020 г. на Възложителя за „Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на дружеството“ и фактическа невъзможност да бъдат спазени изискванията на Правилник за прилагане на Закона за Държавна агенция „Национална сигурност“, в частност Глава четвърта – „Дейности на агенцията по получаване и предоставяне на информация, контраразузнавателна защита на стратегически за страната обекти и дейности и по проучване за издаване на разрешения за достъп до класифицирана информация“, чл.41 във връзка с Постановление № 181 от 20 юли 2009 г. за определяне на стратегическите обекти и дейности, които са от значение за националната сигурност на Министерски съвет.",9137376,10952887.81,1815511.81,BGN,2024
1047622,21/05/2024,365327,00265-2019-0006,833017552,"Мини ""Марица Изток"" ЕАД - Раднево",Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на „Мини Марица-изток“ ЕАД.,1201043,"Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на територията на рудник „Трояново-3“, с. Медникарово, ПС „Старозагорски минерални бани“, ПС „Несебър“",ТО-163,21/05/2024,831637711,Мултифорс А.С. ЕООД - София /старо наименование Мултифорс А.С. ООД/,"На основание чл. 116, ал. 1, т. 3 от ЗОП: 1. Срокът на Договор № ТО-163/30.04.2020г. се удължава до започване на изпълнението на нов договор със същия предмет, сключен от страна на Възложителя, но не по-късно от 31.12.2024г. 2. При сключване на договор с изпълнител, определен след проведена процедура по ЗОП по предмета на договора, Възложителят прекратява едностранно действието на договора, като за целта отправя писмено уведомление до Изпълнителя. 3. За обезпечаването на качественото изпълнение на настоящото споразумение, Изпълнителят представя гаранция за изпълнение в размер на 36 404.32 лева и със срок на валидност до 31.01.2025г. Изпълнителят представя на Възложителя гаранцията за изпълнение на настоящото споразумение в срок до 10.05.2024г. За така представената  гаранция важат условията на основния договор. Предишни изменения - раздел VI.3). Допълнителна информация",,"Забавяне с около 5 месеца одобряване от ДАНС на „Схема за класификация на етапите за сключване и изпълнение на договор“, изтичане на 30.04.2024г. на срокa на действащите Договори №№ ТО 161/30.04.2020 г., ТО 162/30.04.2020 г. и ТО 163/30.04.2020 г. на Възложителя за „Извършване на пропускателен режим и денонощна въоръжена физическа охрана на имуществото и обекти на дружеството“ и фактическа невъзможност да бъдат спазени изискванията на Правилник за прилагане на Закона за Държавна агенция „Национална сигурност“, в частност Глава четвърта – „Дейности на агенцията по получаване и предоставяне на информация, контраразузнавателна защита на стратегически за страната обекти и дейности и по проучване за издаване на разрешения за достъп до класифицирана информация“, чл.41 във връзка с Постановление № 181 от 20 юли 2009 г. за определяне на стратегическите обекти и дейности, които са от значение за националната сигурност на Министерски съвет.",9080448,10900664,1820216,BGN,2024
1047451,18/04/2024,360534,00752-2018-0033,000695235,Министерство на вътрешните работи /МВР/,"Проектиране, изграждане и управление на Система за издаване на български лични документи поколение 2019",1200662,"„Проектиране, изграждане и управление на Система за издаване на български лични документи поколение 2019“",5785мпд-83,18/04/2024,177439107,Консорциум Мюлбауер Ай Ди Сървисиз ГмбХ - С&Т,"Сключено е допълнително споразумение №578500-3307/03.04.2024г. към договор №5785мпд-83/22.12.22 г. за следното: При изпълнение на договора ИЗПЪЛНИТЕЛЯТ ще ползва подизпълнители:  1.ГЕД ООД (ЕИК 831021185), представлявано от управителите Христо Стайков и Калинка Стайкова с начин на представляване „заедно и поотделно”, с дял на участие 1,5 % от ОП, ще изпълнява дейности по Дейност 3, Дейност 4.1,Дейност 5 и Дейност 9 от договор №5785мпд-83/22.12.22г.,подробно описани в Декларация за ползване на подизпълнител, подписана от представителите на изпълнителя на 26.01.24 г. 2.СИЕНСИС АД (ЕИК 121708078), представлявано от изп.директор Николай Медаров, с дял на участие 3,70 % от ОП, ще изпълнява дейности по Дейност 6.1,Дейност 6.3 и Дейност 8 от договор №5785мпд-83/22.12.22 г.,подробно описани в Декларация за подизпълнител,подписана от представителите на изпълнителя на 18.10.23г.",,"При изпълнение на договора ИЗПЪЛНИТЕЛЯТ ще ползва следните подизпълнители:  1.Подизпълнителят ГЕД ООД е с дял на участие 1,5 % от ОП и ще изпълнява дейности по Дейност 3,Дейност 4.1,Дейност 5 и Дейност 9 от договор №5785мпд-83/22.12.22г.,подробно описани в Декларация за ползване на подизпълнител, подписана от представителите на изпълнителя на 26.01.24 г. 2. Подизпълнителят СИЕНСИС АД е с дял на участие 3,70 % от ОП и ще изпълнява дейности по Дейност 6.1, Дейност 6.3 и Дейност 8 от договор №5785мпд-83/22.12.22 г., подробно описани в Декларация за подизпълнител, подписана от представителите на изпълнителя на 18.10.23г.",320859354.45,320859354.45,0,BGN,2024
1047452,18/04/2024,360534,00752-2018-0033,000695235,Министерство на вътрешните работи /МВР/,"Проектиране, изграждане и управление на Система за издаване на български лични документи поколение 2019",1200663,"„Проектиране, изграждане и управление на Система за издаване на български лични документи поколение 2019“",5785мпд-83,18/04/2024,177439107,Консорциум Мюлбауер Ай Ди Сървисиз ГмбХ - С&Т,"Сключено е допълнително споразумение №578500-3306/03.04.24г. към договор № 5785мпд-83/22.12.22г.за следното: При изпълнение на договора ИЗПЪЛНИТЕЛЯТ ще ползва подизпълнители: 1.ЛИНДНЕР БЪЛГАРИЯ ЕООД (ЕИК 121586343), представлявано от управителя Вернер Иозеф Хофман, с дял на участие 0,01 % от ОП, ще изпълнява СМР по изместване на съществуващ канал и водопровод от строителната площадка на обект „Строеж за нуждите на централизирано издаване на БЛД”, подобект „Реконструкция на площадкови ВиК мрежи“. 2.УНИКОМ 2000 ТЕХ ЕООД (ЕИК 201695585), представлявано от управителя Орлин Георгиев с дял на участие 0,09 % от ОП, ще изпълнява проектиране, доставка, монтаж и пускане в експлоатация на електромагнитно екранирано съоръжение в обект „Строеж за нуждите на централизирано издаване на български лични документи”.",,"При изпълнение на договора ИЗПЪЛНИТЕЛЯТ ще ползва подизпълнители за изпълнение на части от Дейност 2 „Проектиране, упражняване на авторски надзор и изпълнение на строеж — обекти по смисъла на S 5, т. 39 от ЗУТ за нуждите на централизираното издаване на БЛД, включително обзавеждането и системата за физическа сигурност на строежа, сградните  отклонения за свързване на строежа с общите мрежи и съоръжения на техническата инфраструктура и с прилежащата улична мрежа и вертикалната планировка“ от договор № 5785мпд-83/22.Р.2022 г., като   ЛИНДНЕР БЪЛГАРИЯ ЕООД ще изпълнява СМР по изместване на съществуващ канал и водопровод от строителната площадка на обект „Строеж за нуждите на централизирано издаване на БЛД”, подобект „Реконструкция на площадкови ВиК мрежи“, а УНИКОМ 2000 ТЕХ ЕООД ще изпълнява проектиране,доставка,монтаж и пускане в експлоатация на електромагнитно екранирано съоръжение в обект „Строеж за нуждите на централизирано издаване на български лични документи”.",320859354.45,320859354.45,0,BGN,2024
1047718,05/06/2024,360534,00752-2018-0033,000695235,Министерство на вътрешните работи /МВР/,"Проектиране, изграждане и управление на Система за издаване на български лични документи поколение 2019",1201219,"„Проектиране, изграждане и управление на Система за издаване на български лични документи поколение 2019“",5785мпд-83,05/06/2024,177439107,Консорциум Мюлбауер Ай Ди Сървисиз ГмбХ - С&Т,"Сключено е допълнително споразумение №578500-4368/08.05.2024г. към договор №5785мпд-83/22.12.22 г. за следното: При изпълнение на договора ИЗПЪЛНИТЕЛЯТ ще ползва следния подизпълнител:  1.""БОДУ"" ООД (ЕИК 130068321), със седалище и адрес на управление: гр. София, район Лозенец, п.к. 1407, ул. ""Бигла"" № 2, вх. А, представлявано от управителя Тихомир Тотев. Подизпълнителят е с дял на участие 3,44 % от ОП, ще изпълнява дейности по Дейност 4.2 от договор №5785мпд-83/22.12.22г.:""Транспортиране и доставяне на персонализираните БЛД до ДБДС, ДМ, СДВР, ОДМВР и отдел ""Пътна полиция"" при СДВР"", включващо: Транспортиране на БЛД в гр.София и Транспортиране на БЛД в страната извън гр.София"".",,"При изпълнение на договора ИЗПЪЛНИТЕЛЯТ ще ползва следния подизпълнител:  1.""БОДУ"" ООД (ЕИК 130068321), със седалище и адрес на управление: гр. София, район Лозенец, п.к. 1407, ул. ""Бигла"" № 2, вх. А, представлявано от управителя Тихомир Тотев. Подизпълнителят е с дял на участие 3,44 % от ОП, ще изпълнява дейности по Дейност 4.2 от договор №5785мпд-83/22.12.22г.:""Транспортиране и доставяне на персонализираните БЛД до ДБДС, ДМ, СДВР, ОДМВР и отдел ""Пътна полиция"" при СДВР"", включващо: Транспортиране на БЛД в гр.София и Транспортиране на БЛД в страната извън гр.София"".",320859354.45,320859354.45,0,BGN,2024
